"Designator","Comment","Footprint","Quantity"
"C1,C3","22uF","Capacitor_SMD:C_1206_3216Metric","2"
"C2,C5,C6,C9,C14-C17,C19,C20,C23-C28","100nF","Capacitor_SMD:C_0402_1005Metric","16"
"C4","4.7uF","Capacitor_SMD:C_0805_2012Metric","1"
"C7","470uF","Capacitor_SMD:CP_Elec_8x10","1"
"C8","22uF","Capacitor_SMD:C_0805_2012Metric","1"
"C10-C13","1uF","Capacitor_SMD:C_0402_1005Metric","4"
"C18","4.7uF","Capacitor_SMD:C_0402_1005Metric","1"
"C21,C22","DNP","Capacitor_SMD:C_0402_1005Metric","2"
"C29","10nF","Capacitor_SMD:C_0402_1005Metric","1"
"D1","SS34","Diode_SMD:D_SMA","1"
"J1","PV_IN","Connector_PinHeader_2.54mm:PinHeader_1x02_P5.08mm_Vertical","1"
"J2","BQ24650","Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.65x1.65mm","1"
"J3","BAT","Connector_PinHeader_2.54mm:PinHeader_1x02_P5.08mm_Vertical","1"
"J4","LMR33630ADDA","Package_SO:HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm","1"
"J5","CM4_J2","Connector_Hirose_DF40:Hirose_DF40HC(3.0)-40DS-0.4V_2x20_P0.4mm","1"
"J6","U.FL","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","1"
"J7","SIM","Connector_JAE:JAE_SIM_Card_SF72S006","1"
"J8","FLIR_LEPTON","Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical","1"
"J9","SI1145","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1"
"J10","YL-83","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1"
"J11","DEBUG_UART","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1"
"L1","6.8uH","Inductor_SMD:L_Bourns-SRR1208","1"
"L2","10uH","Inductor_SMD:L_Bourns-SRR1280","1"
"R1","20m","Resistor_SMD:R_1206_3216Metric","1"
"R2","39.2k","Resistor_SMD:R_0402_1005Metric","1"
"R3,R7-R9","10k","Resistor_SMD:R_0402_1005Metric","4"
"R4","47k","Resistor_SMD:R_0402_1005Metric","1"
"R5","0R","Resistor_SMD:R_0402_1005Metric","1"
"R6","100k","Resistor_SMD:R_0402_1005Metric","1"
"R10,R11","2.2k","Resistor_SMD:R_0402_1005Metric","2"
"U1","AP2112K-3.3","Package_TO_SOT_SMD:SOT-23-5","1"
"U2","LP5907MFX-3.8","Package_TO_SOT_SMD:SOT-23-5","1"
"U3","BG770A-NA","RF_GSM:Quectel_BG95-M1","1"
"U4","TXS0108E","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","1"
"U5","DHT22","Sensor:Aosong_DHT11_5.5x12.0_P2.54mm","1"
"U6","ADS1115","Package_SO:MSOP-10_3x3mm_P0.5mm","1"
